,time,lat,lon,dev_acc_d
22597,2022-03-22 14:36:29,29.712932,60.642436,1128.00454
22598,2022-03-22 14:36:34,29.7121703,60.6437043,1128.15351
22599,2022-03-22 14:36:39,29.7114107,60.6449936,1128.30402
22600,2022-03-22 14:36:44,29.7106436,60.64629,1128.45556
22601,2022-03-22 14:36:49,29.7098753,60.6475853,1128.60709
22602,2022-03-22 14:36:54,29.7091213,60.6488974,1128.75909
22603,2022-03-22 14:36:59,29.7083688,60.6502484,1128.91414
22604,2022-03-22 14:37:04,29.7076126,60.6516208,1129.07116
22605,2022-03-22 14:37:09,29.7068514,60.6530072,1129.22961
22606,2022-03-22 14:37:14,29.706078,60.6544323,1129.39196
22607,2022-03-22 14:37:19,29.7052956,60.6558516,1129.55437
22608,2022-03-22 14:37:24,29.7045237,60.6572638,1129.71557
22609,2022-03-22 14:37:29,29.7037341,60.6587062,1129.88029
22610,2022-03-22 14:37:34,29.7029578,60.6601239,1130.04221
22611,2022-03-22 14:37:39,29.7022171,60.6614941,1130.19814
22612,2022-03-22 14:37:44,29.7014888,60.6628466,1130.35188
22613,2022-03-22 14:37:59,29.6993621,60.6667938,1130.80066
22614,2022-03-22 14:38:14,29.6972583,60.670648,1131.24047
22615,2022-03-22 14:38:09,29.6979705,60.669347,1131.54448
22616,2022-03-22 14:38:24,29.6958083,60.6733152,1131.54448
22617,2022-03-22 14:38:19,29.6965359,60.6719829,1131.6211975
22618,2022-03-22 14:38:04,29.698659,60.6680782,1131.697915
22619,2022-03-22 14:37:49,29.7007777,60.6641966,1131.7746324999998
22620,2022-03-22 14:37:54,29.7000521,60.6654985,1131.85135
22621,2022-03-22 14:38:34,29.6943386,60.676003,1131.85135
22622,2022-03-22 14:38:29,29.6950722,60.6746475,1132.00533
22623,2022-03-22 14:38:39,29.693597,60.6773486,1132.00533
22624,2022-03-22 14:38:44,29.6928642,60.6787032,1132.15952
22625,2022-03-22 14:38:49,29.6921355,60.6800576,1132.31346
22626,2022-03-22 14:38:54,29.691397,60.6814041,1132.46732
22627,2022-03-22 14:38:59,29.6906605,60.6827734,1132.62294
22628,2022-03-22 14:39:04,29.6898964,60.6841577,1132.78142
22629,2022-03-22 14:39:09,29.6891226,60.6855787,1132.94347
22630,2022-03-22 14:39:14,29.6883274,60.6870282,1133.10913
22631,2022-03-22 14:39:19,29.6875211,60.6884967,1133.27699
22632,2022-03-22 14:39:24,29.6867162,60.6899733,1133.44544
22633,2022-03-22 14:39:29,29.6858863,60.6914606,1133.61625
22634,2022-03-22 14:39:34,29.6850694,60.6929519,1133.78661
22635,2022-03-22 14:39:39,29.6842951,60.6943794,1133.94923
22636,2022-03-22 14:39:44,29.6835415,60.6957656,1134.10725
22637,2022-03-22 14:39:49,29.6828006,60.6971445,1134.26392
22638,2022-03-22 14:39:54,29.6820996,60.6984158,1134.40943
22639,2022-03-22 14:39:59,29.6814017,60.6996646,1134.55292
22640,2022-03-22 14:40:04,29.680686,60.7009827,1134.70313
22641,2022-03-22 14:40:09,29.6799415,60.7023354,1134.85787
22642,2022-03-22 14:40:14,29.6791937,60.7037186,1135.01531
22643,2022-03-22 14:40:19,29.6784338,60.7051056,1135.17377
22644,2022-03-22 14:40:24,29.6776695,60.7064872,1135.33205
22645,2022-03-22 14:40:29,29.67691,60.7078686,1135.49003
22646,2022-03-22 14:40:34,29.6761729,60.7092731,1135.6486
22647,2022-03-22 14:40:39,29.675457,60.7107277,1135.81017
22648,2022-03-22 14:40:44,29.6747776,60.7122399,1135.97469
22649,2022-03-22 14:40:49,29.6741126,60.7137959,1136.14227
22650,2022-03-22 14:40:54,29.6734528,60.7153245,1136.30723
22651,2022-03-22 14:40:59,29.6728315,60.716846,1136.4697
22652,2022-03-22 14:41:04,29.6722087,60.7183397,1136.62982
22653,2022-03-22 14:41:09,29.6715714,60.719785,1136.78646
22654,2022-03-22 14:41:14,29.67096,60.7211472,1136.93463
22655,2022-03-22 14:41:19,29.6703685,60.7225097,1137.08183
22656,2022-03-22 14:41:24,29.6697612,60.7238611,1137.22888
22657,2022-03-22 14:41:29,29.669175,60.7251969,1137.37351
22658,2022-03-22 14:41:34,29.6685616,60.7265285,1137.51917
22659,2022-03-22 14:41:39,29.6679502,60.7278791,1137.66636
22660,2022-03-22 14:41:44,29.6673251,60.729288,1137.81925
22661,2022-03-22 14:41:49,29.666694,60.7307294,1137.97525
22662,2022-03-22 14:41:54,29.6660655,60.7321989,1138.13355
